ID,Movie Names,Year,Genere,Rating
197,The Wolf of Wall Street,2013,"Crime, Drama, Comedy",8
198,Spider-Man: Homecoming,2017,"Action, Adventure, Science Fiction, Drama",7.3
199,Babylon,2022,"Drama, Comedy",7.5
200,Guardians of the Galaxy Vol. 2,2017,"Science Fiction, Adventure, Action",7.6
201,Beast,2022,"Thriller, Action, Horror, Adventure, Drama",6.8
202,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action",7.8
203,Jericho Ridge,2023,"Action, Thriller",6
204,Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",7.6
205,The Amazing Spider-Man 2,2014,"Action, Adventure, Fantasy",6.5
206,Uncharted,2022,"Action, Adventure",7
207,Spider-Man,2002,"Fantasy, Action",7.3
208,The Happening,2008,"Thriller, Science Fiction",5.4
209,Avengers: Endgame,2019,"Adventure, Science Fiction, Action",8.3
210,Pirates of the Caribbean: On Stranger Tides,2011,"Adventure, Action, Fantasy",6.5
211,Fantastic Beasts: The Secrets of Dumbledore,2022,"Fantasy, Adventure, Family",6.7
212,Smile,2022,"Horror, Mystery, Thriller",6.7
213,Battle for Saipan,2022,"War, History, Action",5.9
214,The Conjuring,2013,"Horror, Thriller",7.5
215,The Dark Knight,2008,"Drama, Action, Crime, Thriller",8.5
216,John Wick: Chapter 3 - Parabellum,2019,"Action, Thriller, Crime",7.4
217,The Lion King,1994,"Family, Animation, Drama",8.3
218,Play Dead,2022,"Horror, Thriller",6.5
219,Teenage Mutant Ninja Turtles,2014,"Science Fiction, Action, Adventure, Comedy",5.9
220,Insidious: Chapter 3,2015,"Horror, Thriller, Mystery",6.3
221,Iron Man 2,2010,"Adventure, Action, Science Fiction",6.8
222,Fifty Shades Freed,2018,"Drama, Romance",6.7
223,Ratatouille,2007,"Animation, Comedy, Family, Fantasy",7.8
224,Violent Night,2022,"Action, Comedy, Crime, Thriller",7.5
225,Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure, Comedy",6.9
226,Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy",7
227,Tangled,2010,"Animation, Family",7.6
228,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Fantasy, Action",8.4
229,Ice Age,2002,"Animation, Comedy, Family, Adventure",7.3
230,Dune,2021,"Science Fiction, Adventure",7.8
231,One Day as a Lion,2023,"Action, Thriller, Crime",6
232,Inception,2010,"Action, Science Fiction, Adventure",8.4
233,The King's Man,2021,"Action, Adventure, Thriller",6.8
234,Inside Out,2015,"Animation, Family, Adventure, Drama, Comedy",7.9
235,The Exorcist: Believer,2023,"Horror, Thriller",0
236,Shrek 2,2004,"Animation, Family, Comedy, Fantasy, Adventure",7.2
237,Snag,2023,"Action, Crime, Thriller",5.8
238,R.I.P.D. 2: Rise of the Damned,2022,"Action, Comedy, Fantasy, Crime",6.5
239,The Boss Baby: Family Business,2021,"Animation, Comedy, Adventure, Family",7.5
240,Transformers: Age of Extinction,2014,"Science Fiction, Action, Adventure",5.9
241,Insidious: Chapter 2,2013,"Horror, Thriller",6.7
242,Graphic Desires,2022,Thriller,4.1
243,Mulan,1998,"Animation, Family, Adventure",7.9
244,Strays,2023,"Comedy, Adventure",0
245,The Exorcism of God,2022,Horror,7.2
246,Deadpool 2,2018,"Action, Comedy, Adventure",7.5
247,Marvel Rising: Playing with Fire,2019,"Animation, Action, Adventure, Family",6.6
248,Wrath of Man,2021,"Action, Adventure, Crime, Thriller",7.7
249,Prizefighter: The Life of Jem Belcher,2022,"History, Drama",6.3
250,Limbo,2023,"Crime, Drama, Mystery, Thriller",5.2
251,The Shawshank Redemption,1994,"Drama, Crime",8.7
252,Resident Evil: Welcome to Raccoon City,2021,"Horror, Science Fiction, Action",6
253,The Exorcist,1973,Horror,7.7
254,It Chapter Two,2019,"Horror, Fantasy",6.9
255,Mission: Impossible - Fallout,2018,"Action, Adventure",7.4
256,Pirates of the Caribbean: At World's End,2007,"Adventure, Fantasy, Action",7.2
257,Gabriel's Redemption: Part 1,2023,"Drama, Romance",6.7
258,Extraction,2020,"Action, Thriller",7.4
259,Star Wars,1977,"Adventure, Action, Science Fiction",8.2
260,Deathstroke: Knights & Dragons - The Movie,2020,"Animation, Action, Adventure, Science Fiction",7
261,Real Steel,2011,"Action, Science Fiction, Drama",7
262,Toy Story 2,1999,"Animation, Comedy, Family",7.6
263,Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction",7.3
264,The Hobbit: The Battle of the Five Armies,2014,"Action, Adventure, Fantasy",7.3
265,The Enforcer,2022,"Action, Crime, Drama, Thriller",7.2
266,Luca,2021,"Animation, Comedy, Fantasy, Adventure, Family",7.9
267,Spider-Man: Far From Home,2019,"Action, Adventure, Science Fiction",7.5
268,Stand and Deliver,1988,Drama,7.6
269,Iron Man,2008,"Action, Science Fiction, Adventure",7.6
270,Happiness for Beginners,2023,"Romance, Adventure, Comedy",6.6
271,Hocus Pocus 2,2022,"Fantasy, Comedy, Family",7.4
272,Dumbo,2019,"Family, Fantasy, Adventure",6.7
273,Transfusion,2023,Crime,6.1
274,The Lord of the Rings: The Two Towers,2002,"Adventure, Fantasy, Action",8.4
275,Godzilla vs. Kong,2021,"Action, Fantasy, Science Fiction",7.7
276,Jeepers Creepers: Reborn,2022,"Horror, Thriller, Mystery",5.6
277,The Lost City,2022,"Action, Adventure, Comedy",6.6
278,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Fantasy",5.9
279,The Conjuring 2,2016,"Horror, Thriller",7.3
280,Frozen II,2019,"Family, Animation, Adventure, Comedy, Fantasy",7.3
281,The Nun,2018,"Horror, Mystery, Thriller",5.9
282,Finding Nemo,2003,"Animation, Family",7.8
283,A Man Called Otto,2022,"Comedy, Drama",7.9
284,Medieval,2022,"Action, Drama, History",7.1
285,DC League of Super-Pets,2022,"Animation, Action, Family, Comedy, Science Fiction",7.4
286,Two Witches,2023,Horror,6.2
287,Blue Beetle,2023,"Action, Science Fiction",0
288,Supercell,2023,Action,6.1
289,Caligula,1979,"Drama, History, Romance",6
